,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
75,006-001,22.309273,22.3333752,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
76,006-002,22.309273,22.3333752,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
77,006-003,22.309273,22.3333752,113.90352686666668,113.9352918,0,,,2,0,0,,0.4854893128836876,0,0.03883914503069501,0.0,0.03883914503069501
78,006-004,22.309273,22.3333752,113.9352918,113.96705673333334,0,,,14,2,0,,0.8972337937904644,0,0.07177870350323716,0.0,0.07177870350323716
79,006-005,22.309273,22.3333752,113.96705673333334,113.99882166666669,0,,,6,0,0,,1.4564679386510626,0,0.11651743509208501,0.0,0.11651743509208501
80,006-006,22.309273,22.3333752,113.99882166666669,114.0305866,0,,,1,2,0,,-2.258446739953505,0,-0.18067573919628038,0.0,-0.18067573919628038
81,006-007,22.309273,22.3333752,114.0305866,114.06235153333334,0,,,2,1,0,,-0.7651063853139867,0,-0.06120851082511893,0.0,-0.06120851082511893
82,006-008,22.309273,22.3333752,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
83,006-009,22.309273,22.3333752,114.09411646666666,114.1258814,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
84,006-010,22.309273,22.3333752,114.1258814,114.15764633333332,1,3.8,17.0,29,2,2,,4.544126408487892,1,0.36353011267903135,12.611537753638338,12.975067866317369
85,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,25,3.656,121.28,332,10,29,Sham Shui Po,68.16824909372707,1,5.453459927498166,12.611537753638338,18.064997681136504
86,006-012,22.309273,22.3333752,114.18941126666668,114.2211762,1,3.2,170.0,150,2,10,Kowloon City District,33.93912091023007,1,2.715129672818406,12.611537753638338,15.326667426456744
